epoch,proxy_loss,avg_reward,success_rate,avg_steps,timestamp
1,0.26785416666666667,0.8631249999999999,0.875,2.0,2026-04-18T21:35:52.830395
2,0.2674166666666667,0.8674999999999999,0.875,2.0,2026-04-18T21:47:32.200643
3,0.1915,0.835,1.0,2.25,2026-04-18T21:51:47.902362
4,0.18439583333333337,0.8643749999999999,1.0,2.125,2026-04-18T21:55:37.402349
5,0.15822916666666664,1.084375,1.0,2.0,2026-04-18T22:00:07.512042
6,0.26829166666666665,0.85875,0.875,2.0,2026-04-18T22:04:18.475004
7,0.15031250000000002,1.121875,1.0,1.875,2026-04-18T22:08:11.956406
8,0.2806875,0.818125,0.875,2.25,2026-04-18T22:11:51.983276
9,0.18002083333333335,0.908125,1.0,2.125,2026-04-18T22:15:20.188255
10,0.1746666666666667,0.9199999999999999,1.0,2.0,2026-04-18T22:18:52.942725
11,0.17860416666666667,0.880625,1.0,2.0,2026-04-18T22:22:09.878889
12,0.18577083333333336,0.850625,1.0,2.125,2026-04-18T22:25:59.190483
13,0.17779166666666668,0.8887499999999999,1.0,2.0,2026-04-18T22:29:44.858957
14,0.2642916666666667,0.8987499999999999,0.875,2.0,2026-04-18T22:33:10.824371
15,0.27937500000000004,0.83125,0.875,2.25,2026-04-18T22:37:58.186812
16,0.17629166666666668,0.9037499999999999,1.0,2.0,2026-04-18T22:41:42.157338
17,0.2634791666666667,0.906875,0.875,2.0,2026-04-18T22:45:07.940959
18,0.19187500000000002,0.83125,1.0,2.25,2026-04-18T22:51:28.338782
19,0.2625416666666667,0.91625,0.875,2.0,2026-04-18T22:55:53.363834
20,0.26316666666666666,0.9099999999999999,0.875,2.0,2026-04-18T23:01:15.294900
21,0.18608333333333338,0.8474999999999999,1.0,2.125,2026-04-18T23:05:41.694156
22,0.26829166666666665,0.85875,0.875,2.0,2026-04-18T23:11:48.107512
23,0.24225000000000002,1.0775,0.875,1.875,2026-04-18T23:16:56.177397
24,0.18439583333333337,0.8643749999999999,1.0,2.125,2026-04-18T23:21:12.837057
25,0.17635416666666667,0.903125,1.0,2.0,2026-04-18T23:25:58.911920
26,0.17629166666666668,0.9037499999999999,1.0,2.0,2026-04-18T23:30:15.684470
27,0.26466666666666666,0.8949999999999999,0.875,2.0,2026-04-18T23:33:52.542746
28,0.28922916666666665,0.774375,0.875,2.375,2026-04-18T23:38:12.137613
29,0.35752083333333334,0.8831249999999999,0.75,2.125,2026-04-18T23:42:49.405992
30,0.278125,0.84375,0.875,2.25,2026-04-18T23:48:40.278415
31,0.27470833333333333,0.8362499999999999,0.875,2.125,2026-04-18T23:54:58.746481
32,0.17629166666666668,0.9037499999999999,1.0,2.0,2026-04-19T00:00:34.886328
33,0.26627083333333335,0.9206249999999999,0.875,2.125,2026-04-19T00:09:07.150396
34,0.26964583333333336,0.886875,0.875,2.125,2026-04-19T00:13:47.472691
35,0.2651041666666667,0.890625,0.875,2.0,2026-04-19T00:21:31.113339
36,0.18670833333333337,0.8412499999999999,1.0,2.125,2026-04-19T00:28:27.352395
37,0.1756666666666667,0.9099999999999999,1.0,2.0,2026-04-19T00:34:22.705445
38,0.27389583333333334,0.8443749999999999,0.875,2.125,2026-04-19T00:40:28.168323
39,0.2692083333333333,0.89125,0.875,2.125,2026-04-19T00:46:21.347492
40,0.17860416666666667,0.880625,1.0,2.0,2026-04-19T00:53:07.504706
41,0.2786666666666667,0.88,0.875,2.375,2026-04-19T01:00:59.254414
42,0.17860416666666667,0.880625,1.0,2.0,2026-04-19T01:07:37.915384
43,0.1925,0.825,1.0,2.25,2026-04-19T01:12:57.123890
44,0.27239583333333334,0.859375,0.875,2.125,2026-04-19T01:17:25.697225
45,0.14808333333333334,1.1025,1.0,1.75,2026-04-19T01:23:18.301531
46,0.17860416666666667,0.880625,1.0,2.0,2026-04-19T01:30:12.095416
47,0.18670833333333337,0.8412499999999999,1.0,2.125,2026-04-19T01:37:57.784674
48,0.2651041666666667,0.890625,0.875,2.0,2026-04-19T01:44:04.992069
49,0.2651041666666667,0.890625,0.875,2.0,2026-04-19T01:50:31.966616
50,0.2597291666666667,0.944375,0.875,2.0,2026-04-19T01:56:32.684978
